alpha,T,L
0.0,12.2,8
0.1111111111111111,29.0,8
0.2222222222222222,55.7,8
0.3333333333333333,52.9,8
0.4444444444444444,45.1,8
0.5555555555555556,65.8,8
0.6666666666666666,59.2,8
0.7777777777777777,28.8,8
0.8888888888888888,32.1,8
1.0,11.9,8
