alpha,T,L
0.0,15.1,16
0.1111111111111111,52.1,16
0.2222222222222222,143.2,16
0.3333333333333333,212.6,16
0.4444444444444444,367.3,16
0.5555555555555556,268.5,16
0.6666666666666666,72.5,16
0.7777777777777777,91.2,16
0.8888888888888888,49.1,16
1.0,39.2,16
