simulation,generation,rho,alpha
2,11,0.125,0.1111111111111111
2,12,0.1875,0.1111111111111111
2,13,0.171875,0.1111111111111111
2,14,0.1875,0.1111111111111111
2,15,0.1875,0.1111111111111111
2,16,0.203125,0.1111111111111111
2,17,0.125,0.1111111111111111
2,18,0.09375,0.1111111111111111
2,19,0.125,0.1111111111111111
2,20,0.171875,0.1111111111111111
2,21,0.1875,0.1111111111111111
2,22,0.1875,0.1111111111111111
2,23,0.140625,0.1111111111111111
2,24,0.125,0.1111111111111111
2,25,0.0625,0.1111111111111111
2,26,0.046875,0.1111111111111111
2,27,0.0625,0.1111111111111111
2,28,0.0625,0.1111111111111111
2,29,0.046875,0.1111111111111111
2,30,0.046875,0.1111111111111111
2,31,0.015625,0.1111111111111111
2,32,0.03125,0.1111111111111111
2,33,0.0,0.1111111111111111
3,0,1,0.1111111111111111
3,1,0.609375,0.1111111111111111
3,2,0.578125,0.1111111111111111
3,3,0.46875,0.1111111111111111
3,4,0.375,0.1111111111111111
3,5,0.34375,0.1111111111111111
3,6,0.25,0.1111111111111111
3,7,0.3125,0.1111111111111111
3,8,0.265625,0.1111111111111111
3,9,0.1875,0.1111111111111111
3,10,0.203125,0.1111111111111111
3,11,0.15625,0.1111111111111111
3,12,0.125,0.1111111111111111
3,13,0.109375,0.1111111111111111
3,14,0.1875,0.1111111111111111
3,15,0.265625,0.1111111111111111
3,16,0.1875,0.1111111111111111
3,17,0.1875,0.1111111111111111
3,18,0.1875,0.1111111111111111
3,19,0.234375,0.1111111111111111
3,20,0.171875,0.1111111111111111
3,21,0.125,0.1111111111111111
3,22,0.109375,0.1111111111111111
3,23,0.109375,0.1111111111111111
3,24,0.125,0.1111111111111111
3,25,0.15625,0.1111111111111111
3,26,0.1875,0.1111111111111111
3,27,0.125,0.1111111111111111
3,28,0.078125,0.1111111111111111
3,29,0.109375,0.1111111111111111
3,30,0.0625,0.1111111111111111
3,31,0.078125,0.1111111111111111
3,32,0.0625,0.1111111111111111
3,33,0.078125,0.1111111111111111
3,34,0.078125,0.1111111111111111
3,35,0.0625,0.1111111111111111
3,36,0.078125,0.1111111111111111
3,37,0.109375,0.1111111111111111
3,38,0.15625,0.1111111111111111
3,39,0.203125,0.1111111111111111
3,40,0.15625,0.1111111111111111
3,41,0.15625,0.1111111111111111
3,42,0.125,0.1111111111111111
3,43,0.09375,0.1111111111111111
3,44,0.078125,0.1111111111111111
3,45,0.0625,0.1111111111111111
3,46,0.0625,0.1111111111111111
3,47,0.09375,0.1111111111111111
3,48,0.109375,0.1111111111111111
3,49,0.109375,0.1111111111111111
3,50,0.09375,0.1111111111111111
3,51,0.0625,0.1111111111111111
3,52,0.03125,0.1111111111111111
3,53,0.0,0.1111111111111111
4,0,1,0.1111111111111111
4,1,0.65625,0.1111111111111111
