delta,sigma/pext,simulation,generation,rho,alpha
0,0,1,49,0.2916,0.1111111111111111
0,0,1,50,0.2992,0.1111111111111111
0,0,1,51,0.2912,0.1111111111111111
0,0,1,52,0.3084,0.1111111111111111
0,0,1,53,0.2964,0.1111111111111111
0,0,1,54,0.2952,0.1111111111111111
0,0,1,55,0.2916,0.1111111111111111
0,0,1,56,0.2844,0.1111111111111111
0,0,1,57,0.2912,0.1111111111111111
0,0,1,58,0.2804,0.1111111111111111
0,0,1,59,0.2888,0.1111111111111111
0,0,1,60,0.3152,0.1111111111111111
0,0,1,61,0.3288,0.1111111111111111
0,0,1,62,0.3308,0.1111111111111111
0,0,1,63,0.3236,0.1111111111111111
0,0,1,64,0.3112,0.1111111111111111
0,0,1,65,0.3156,0.1111111111111111
0,0,1,66,0.3132,0.1111111111111111
0,0,1,67,0.308,0.1111111111111111
0,0,1,68,0.318,0.1111111111111111
0,0,1,69,0.32,0.1111111111111111
0,0,1,70,0.3164,0.1111111111111111
0,0,1,71,0.3136,0.1111111111111111
0,0,1,72,0.3072,0.1111111111111111
0,0,1,73,0.3056,0.1111111111111111
0,0,1,74,0.2932,0.1111111111111111
0,0,1,75,0.2868,0.1111111111111111
0,0,1,76,0.2928,0.1111111111111111
0,0,1,77,0.2904,0.1111111111111111
0,0,1,78,0.292,0.1111111111111111
0,0,1,79,0.2848,0.1111111111111111
0,0,1,80,0.2888,0.1111111111111111
0,0,1,81,0.2948,0.1111111111111111
0,0,1,82,0.2972,0.1111111111111111
0,0,1,83,0.286,0.1111111111111111
0,0,1,84,0.2908,0.1111111111111111
0,0,1,85,0.2992,0.1111111111111111
0,0,1,86,0.3036,0.1111111111111111
0,0,1,87,0.3076,0.1111111111111111
0,0,1,88,0.3064,0.1111111111111111
0,0,1,89,0.3044,0.1111111111111111
0,0,1,90,0.292,0.1111111111111111
0,0,1,91,0.3004,0.1111111111111111
0,0,1,92,0.296,0.1111111111111111
0,0,1,93,0.3,0.1111111111111111
0,0,1,94,0.2896,0.1111111111111111
0,0,1,95,0.2864,0.1111111111111111
0,0,1,96,0.2884,0.1111111111111111
0,0,1,97,0.3024,0.1111111111111111
0,0,1,98,0.3004,0.1111111111111111
0,0,1,99,0.2944,0.1111111111111111
0,0,1,100,0.2964,0.1111111111111111
0,0,1,0,1,0.2222222222222222
0,0,1,1,0.7168,0.2222222222222222
0,0,1,2,0.5704,0.2222222222222222
0,0,1,3,0.5004,0.2222222222222222
0,0,1,4,0.456,0.2222222222222222
0,0,1,5,0.4108,0.2222222222222222
0,0,1,6,0.3928,0.2222222222222222
0,0,1,7,0.3848,0.2222222222222222
0,0,1,8,0.3672,0.2222222222222222
0,0,1,9,0.3692,0.2222222222222222
0,0,1,10,0.366,0.2222222222222222
0,0,1,11,0.3748,0.2222222222222222
0,0,1,12,0.3608,0.2222222222222222
0,0,1,13,0.358,0.2222222222222222
0,0,1,14,0.3484,0.2222222222222222
0,0,1,15,0.3464,0.2222222222222222
0,0,1,16,0.3456,0.2222222222222222
0,0,1,17,0.3396,0.2222222222222222
0,0,1,18,0.3404,0.2222222222222222
0,0,1,19,0.3472,0.2222222222222222
0,0,1,20,0.3516,0.2222222222222222
0,0,1,21,0.3576,0.2222222222222222
0,0,1,22,0.3592,0.2222222222222222
0,0,1,23,0.3612,0.2222222222222222
0,0,1,24,0.3612,0.2222222222222222
0,0,1,25,0.35,0.2222222222222222
0,0,1,26,0.336,0.2222222222222222
0,0,1,27,0.3376,0.2222222222222222
0,0,1,28,0.332,0.2222222222222222
0,0,1,29,0.328,0.2222222222222222
0,0,1,30,0.3224,0.2222222222222222
0,0,1,31,0.3228,0.2222222222222222
0,0,1,32,0.314,0.2222222222222222
0,0,1,33,0.32,0.2222222222222222
0,0,1,34,0.3264,0.2222222222222222
0,0,1,35,0.3196,0.2222222222222222
0,0,1,36,0.3152,0.2222222222222222
0,0,1,37,0.3264,0.2222222222222222
0,0,1,38,0.326,0.2222222222222222
0,0,1,39,0.3216,0.2222222222222222
0,0,1,40,0.336,0.2222222222222222
0,0,1,41,0.3368,0.2222222222222222
0,0,1,42,0.3428,0.2222222222222222
0,0,1,43,0.3284,0.2222222222222222
0,0,1,44,0.3148,0.2222222222222222
0,0,1,45,0.3292,0.2222222222222222
0,0,1,46,0.3152,0.2222222222222222
0,0,1,47,0.302,0.2222222222222222
0,0,1,48,0.306,0.2222222222222222
0,0,1,49,0.2928,0.2222222222222222
0,0,1,50,0.2948,0.2222222222222222
0,0,1,51,0.2992,0.2222222222222222
0,0,1,52,0.3136,0.2222222222222222
0,0,1,53,0.3012,0.2222222222222222
0,0,1,54,0.304,0.2222222222222222
0,0,1,55,0.3056,0.2222222222222222
0,0,1,56,0.3168,0.2222222222222222
0,0,1,57,0.3108,0.2222222222222222
0,0,1,58,0.3308,0.2222222222222222
0,0,1,59,0.3388,0.2222222222222222
0,0,1,60,0.3508,0.2222222222222222
0,0,1,61,0.3372,0.2222222222222222
0,0,1,62,0.332,0.2222222222222222
0,0,1,63,0.326,0.2222222222222222
0,0,1,64,0.3064,0.2222222222222222
0,0,1,65,0.3164,0.2222222222222222
0,0,1,66,0.3004,0.2222222222222222
0,0,1,67,0.3144,0.2222222222222222
0,0,1,68,0.3164,0.2222222222222222
0,0,1,69,0.3116,0.2222222222222222
0,0,1,70,0.3104,0.2222222222222222
0,0,1,71,0.3192,0.2222222222222222
0,0,1,72,0.3052,0.2222222222222222
0,0,1,73,0.2956,0.2222222222222222
0,0,1,74,0.3096,0.2222222222222222
0,0,1,75,0.3096,0.2222222222222222
0,0,1,76,0.3208,0.2222222222222222
0,0,1,77,0.3304,0.2222222222222222
0,0,1,78,0.3384,0.2222222222222222
0,0,1,79,0.3492,0.2222222222222222
0,0,1,80,0.3368,0.2222222222222222
0,0,1,81,0.326,0.2222222222222222
0,0,1,82,0.316,0.2222222222222222
0,0,1,83,0.3172,0.2222222222222222
0,0,1,84,0.3048,0.2222222222222222
0,0,1,85,0.3008,0.2222222222222222
0,0,1,86,0.3164,0.2222222222222222
0,0,1,87,0.3116,0.2222222222222222
0,0,1,88,0.3068,0.2222222222222222
0,0,1,89,0.3064,0.2222222222222222
0,0,1,90,0.3192,0.2222222222222222
0,0,1,91,0.3052,0.2222222222222222
0,0,1,92,0.3148,0.2222222222222222
0,0,1,93,0.3108,0.2222222222222222
0,0,1,94,0.3128,0.2222222222222222
0,0,1,95,0.3252,0.2222222222222222
0,0,1,96,0.3216,0.2222222222222222
0,0,1,97,0.336,0.2222222222222222
0,0,1,98,0.3484,0.2222222222222222
0,0,1,99,0.338,0.2222222222222222
0,0,1,100,0.3472,0.2222222222222222
0,0,1,0,1,0.3333333333333333
0,0,1,1,0.6992,0.3333333333333333
0,0,1,2,0.5736,0.3333333333333333
0,0,1,3,0.5076,0.3333333333333333
0,0,1,4,0.472,0.3333333333333333
0,0,1,5,0.4572,0.3333333333333333
0,0,1,6,0.4236,0.3333333333333333
0,0,1,7,0.412,0.3333333333333333
0,0,1,8,0.4004,0.3333333333333333
0,0,1,9,0.3816,0.3333333333333333
0,0,1,10,0.3744,0.3333333333333333
0,0,1,11,0.3752,0.3333333333333333
0,0,1,12,0.3712,0.3333333333333333
0,0,1,13,0.37,0.3333333333333333
0,0,1,14,0.3552,0.3333333333333333
0,0,1,15,0.3576,0.3333333333333333
0,0,1,16,0.3544,0.3333333333333333
0,0,1,17,0.3568,0.3333333333333333
0,0,1,18,0.3536,0.3333333333333333
0,0,1,19,0.3544,0.3333333333333333
0,0,1,20,0.3632,0.3333333333333333
0,0,1,21,0.362,0.3333333333333333
0,0,1,22,0.3464,0.3333333333333333
0,0,1,23,0.34,0.3333333333333333
0,0,1,24,0.3528,0.3333333333333333
0,0,1,25,0.3532,0.3333333333333333
0,0,1,26,0.3456,0.3333333333333333
