alpha,T,L
0.0,7.09,8
0.1111111111111111,13.05,8
0.2222222222222222,21.34,8
0.3333333333333333,43.09,8
0.4444444444444444,106.99,8
0.5555555555555556,216.13,8
0.6666666666666666,397.77,8
0.7777777777777777,461.18,8
0.8888888888888888,482.48,8
1.0,480.6,8
