simulation,generation,rho,delta,sigma/pext,alpha
1,41,0.3216,0.25,0,0,0.1111111111111111
1,42,0.3204,0.25,0,0,0.1111111111111111
1,43,0.3088,0.25,0,0,0.1111111111111111
1,44,0.3056,0.25,0,0,0.1111111111111111
1,45,0.2988,0.25,0,0,0.1111111111111111
1,46,0.292,0.25,0,0,0.1111111111111111
1,47,0.292,0.25,0,0,0.1111111111111111
1,48,0.2928,0.25,0,0,0.1111111111111111
1,49,0.2952,0.25,0,0,0.1111111111111111
1,50,0.2888,0.25,0,0,0.1111111111111111
1,51,0.2872,0.25,0,0,0.1111111111111111
1,52,0.2912,0.25,0,0,0.1111111111111111
1,53,0.2856,0.25,0,0,0.1111111111111111
1,54,0.2916,0.25,0,0,0.1111111111111111
1,55,0.306,0.25,0,0,0.1111111111111111
1,56,0.3148,0.25,0,0,0.1111111111111111
1,57,0.3124,0.25,0,0,0.1111111111111111
1,58,0.3152,0.25,0,0,0.1111111111111111
1,59,0.3292,0.25,0,0,0.1111111111111111
1,60,0.3312,0.25,0,0,0.1111111111111111
1,61,0.3296,0.25,0,0,0.1111111111111111
1,62,0.3304,0.25,0,0,0.1111111111111111
1,63,0.3312,0.25,0,0,0.1111111111111111
1,64,0.334,0.25,0,0,0.1111111111111111
1,65,0.3308,0.25,0,0,0.1111111111111111
1,66,0.316,0.25,0,0,0.1111111111111111
1,67,0.2984,0.25,0,0,0.1111111111111111
1,68,0.3,0.25,0,0,0.1111111111111111
1,69,0.3032,0.25,0,0,0.1111111111111111
1,70,0.302,0.25,0,0,0.1111111111111111
1,71,0.2972,0.25,0,0,0.1111111111111111
1,72,0.3108,0.25,0,0,0.1111111111111111
1,73,0.3084,0.25,0,0,0.1111111111111111
1,74,0.3188,0.25,0,0,0.1111111111111111
1,75,0.3,0.25,0,0,0.1111111111111111
1,76,0.3084,0.25,0,0,0.1111111111111111
1,77,0.3208,0.25,0,0,0.1111111111111111
1,78,0.312,0.25,0,0,0.1111111111111111
1,79,0.3128,0.25,0,0,0.1111111111111111
1,80,0.3248,0.25,0,0,0.1111111111111111
1,81,0.3296,0.25,0,0,0.1111111111111111
1,82,0.33,0.25,0,0,0.1111111111111111
1,83,0.3288,0.25,0,0,0.1111111111111111
1,84,0.3276,0.25,0,0,0.1111111111111111
1,85,0.328,0.25,0,0,0.1111111111111111
1,86,0.3264,0.25,0,0,0.1111111111111111
1,87,0.3192,0.25,0,0,0.1111111111111111
1,88,0.3216,0.25,0,0,0.1111111111111111
1,89,0.3296,0.25,0,0,0.1111111111111111
1,90,0.3248,0.25,0,0,0.1111111111111111
1,91,0.3272,0.25,0,0,0.1111111111111111
1,92,0.3084,0.25,0,0,0.1111111111111111
1,93,0.304,0.25,0,0,0.1111111111111111
1,94,0.3008,0.25,0,0,0.1111111111111111
1,95,0.3024,0.25,0,0,0.1111111111111111
1,96,0.3064,0.25,0,0,0.1111111111111111
1,97,0.2936,0.25,0,0,0.1111111111111111
1,98,0.2832,0.25,0,0,0.1111111111111111
1,99,0.2828,0.25,0,0,0.1111111111111111
1,100,0.2976,0.25,0,0,0.1111111111111111
1,0,1,0.25,0,0,0.2222222222222222
1,1,0.7216,0.25,0,0,0.2222222222222222
1,2,0.6008,0.25,0,0,0.2222222222222222
1,3,0.5176,0.25,0,0,0.2222222222222222
1,4,0.4808,0.25,0,0,0.2222222222222222
1,5,0.4584,0.25,0,0,0.2222222222222222
1,6,0.418,0.25,0,0,0.2222222222222222
1,7,0.4244,0.25,0,0,0.2222222222222222
1,8,0.406,0.25,0,0,0.2222222222222222
1,9,0.3948,0.25,0,0,0.2222222222222222
1,10,0.3852,0.25,0,0,0.2222222222222222
1,11,0.37,0.25,0,0,0.2222222222222222
1,12,0.3616,0.25,0,0,0.2222222222222222
1,13,0.3628,0.25,0,0,0.2222222222222222
1,14,0.3644,0.25,0,0,0.2222222222222222
1,15,0.3592,0.25,0,0,0.2222222222222222
1,16,0.3564,0.25,0,0,0.2222222222222222
1,17,0.3452,0.25,0,0,0.2222222222222222
1,18,0.348,0.25,0,0,0.2222222222222222
1,19,0.3492,0.25,0,0,0.2222222222222222
1,20,0.3348,0.25,0,0,0.2222222222222222
1,21,0.3572,0.25,0,0,0.2222222222222222
1,22,0.3492,0.25,0,0,0.2222222222222222
1,23,0.352,0.25,0,0,0.2222222222222222
1,24,0.3576,0.25,0,0,0.2222222222222222
1,25,0.3576,0.25,0,0,0.2222222222222222
1,26,0.3492,0.25,0,0,0.2222222222222222
1,27,0.3456,0.25,0,0,0.2222222222222222
1,28,0.3484,0.25,0,0,0.2222222222222222
1,29,0.3328,0.25,0,0,0.2222222222222222
1,30,0.3476,0.25,0,0,0.2222222222222222
1,31,0.3496,0.25,0,0,0.2222222222222222
1,32,0.352,0.25,0,0,0.2222222222222222
1,33,0.3504,0.25,0,0,0.2222222222222222
1,34,0.3488,0.25,0,0,0.2222222222222222
1,35,0.3464,0.25,0,0,0.2222222222222222
1,36,0.3456,0.25,0,0,0.2222222222222222
1,37,0.3376,0.25,0,0,0.2222222222222222
1,38,0.3428,0.25,0,0,0.2222222222222222
1,39,0.3404,0.25,0,0,0.2222222222222222
1,40,0.3416,0.25,0,0,0.2222222222222222
1,41,0.3292,0.25,0,0,0.2222222222222222
1,42,0.3416,0.25,0,0,0.2222222222222222
1,43,0.3308,0.25,0,0,0.2222222222222222
1,44,0.3232,0.25,0,0,0.2222222222222222
1,45,0.3308,0.25,0,0,0.2222222222222222
1,46,0.3356,0.25,0,0,0.2222222222222222
1,47,0.3412,0.25,0,0,0.2222222222222222
1,48,0.3412,0.25,0,0,0.2222222222222222
1,49,0.3228,0.25,0,0,0.2222222222222222
1,50,0.3256,0.25,0,0,0.2222222222222222
1,51,0.3168,0.25,0,0,0.2222222222222222
1,52,0.316,0.25,0,0,0.2222222222222222
1,53,0.3176,0.25,0,0,0.2222222222222222
1,54,0.324,0.25,0,0,0.2222222222222222
1,55,0.3244,0.25,0,0,0.2222222222222222
1,56,0.3224,0.25,0,0,0.2222222222222222
1,57,0.3164,0.25,0,0,0.2222222222222222
1,58,0.3312,0.25,0,0,0.2222222222222222
1,59,0.3284,0.25,0,0,0.2222222222222222
1,60,0.3284,0.25,0,0,0.2222222222222222
1,61,0.3156,0.25,0,0,0.2222222222222222
1,62,0.3148,0.25,0,0,0.2222222222222222
1,63,0.3068,0.25,0,0,0.2222222222222222
1,64,0.3168,0.25,0,0,0.2222222222222222
1,65,0.3088,0.25,0,0,0.2222222222222222
1,66,0.3084,0.25,0,0,0.2222222222222222
1,67,0.3068,0.25,0,0,0.2222222222222222
1,68,0.3096,0.25,0,0,0.2222222222222222
1,69,0.3104,0.25,0,0,0.2222222222222222
1,70,0.3172,0.25,0,0,0.2222222222222222
1,71,0.3276,0.25,0,0,0.2222222222222222
1,72,0.3268,0.25,0,0,0.2222222222222222
1,73,0.3268,0.25,0,0,0.2222222222222222
1,74,0.3356,0.25,0,0,0.2222222222222222
1,75,0.334,0.25,0,0,0.2222222222222222
1,76,0.348,0.25,0,0,0.2222222222222222
1,77,0.3404,0.25,0,0,0.2222222222222222
1,78,0.3424,0.25,0,0,0.2222222222222222
1,79,0.3464,0.25,0,0,0.2222222222222222
1,80,0.3496,0.25,0,0,0.2222222222222222
1,81,0.3364,0.25,0,0,0.2222222222222222
1,82,0.3312,0.25,0,0,0.2222222222222222
1,83,0.3212,0.25,0,0,0.2222222222222222
1,84,0.3316,0.25,0,0,0.2222222222222222
1,85,0.334,0.25,0,0,0.2222222222222222
1,86,0.3352,0.25,0,0,0.2222222222222222
1,87,0.3212,0.25,0,0,0.2222222222222222
1,88,0.3296,0.25,0,0,0.2222222222222222
1,89,0.3288,0.25,0,0,0.2222222222222222
1,90,0.3268,0.25,0,0,0.2222222222222222
1,91,0.3236,0.25,0,0,0.2222222222222222
1,92,0.3176,0.25,0,0,0.2222222222222222
1,93,0.32,0.25,0,0,0.2222222222222222
1,94,0.3316,0.25,0,0,0.2222222222222222
1,95,0.33,0.25,0,0,0.2222222222222222
1,96,0.3316,0.25,0,0,0.2222222222222222
1,97,0.3384,0.25,0,0,0.2222222222222222
1,98,0.346,0.25,0,0,0.2222222222222222
1,99,0.3432,0.25,0,0,0.2222222222222222
1,100,0.3376,0.25,0,0,0.2222222222222222
1,0,1,0.25,0,0,0.3333333333333333
1,1,0.7268,0.25,0,0,0.3333333333333333
1,2,0.59,0.25,0,0,0.3333333333333333
1,3,0.5172,0.25,0,0,0.3333333333333333
1,4,0.4808,0.25,0,0,0.3333333333333333
1,5,0.4456,0.25,0,0,0.3333333333333333
1,6,0.4208,0.25,0,0,0.3333333333333333
1,7,0.3976,0.25,0,0,0.3333333333333333
1,8,0.3844,0.25,0,0,0.3333333333333333
1,9,0.3772,0.25,0,0,0.3333333333333333
1,10,0.3528,0.25,0,0,0.3333333333333333
1,11,0.3632,0.25,0,0,0.3333333333333333
1,12,0.3728,0.25,0,0,0.3333333333333333
1,13,0.3916,0.25,0,0,0.3333333333333333
1,14,0.3836,0.25,0,0,0.3333333333333333
1,15,0.3896,0.25,0,0,0.3333333333333333
