simulation,generation,rho,alpha
1,45,0.3237,0.25
1,46,0.3272,0.25
1,47,0.3353,0.25
1,48,0.3314,0.25
1,49,0.3347,0.25
1,50,0.3356,0.25
1,51,0.3341,0.25
1,52,0.3336,0.25
1,53,0.3376,0.25
1,54,0.3367,0.25
1,55,0.3447,0.25
1,56,0.3506,0.25
1,57,0.3474,0.25
1,58,0.3492,0.25
1,59,0.3457,0.25
1,60,0.3448,0.25
1,61,0.3352,0.25
1,62,0.332,0.25
1,63,0.3309,0.25
1,64,0.3284,0.25
1,65,0.3353,0.25
1,66,0.3361,0.25
1,67,0.3439,0.25
1,68,0.3395,0.25
1,69,0.341,0.25
1,70,0.3431,0.25
1,71,0.3376,0.25
1,72,0.336,0.25
1,73,0.3356,0.25
1,74,0.3385,0.25
1,75,0.3298,0.25
1,76,0.3301,0.25
1,77,0.3271,0.25
1,78,0.3306,0.25
1,79,0.328,0.25
1,80,0.3319,0.25
1,81,0.3288,0.25
1,82,0.3287,0.25
1,83,0.34,0.25
1,84,0.3448,0.25
1,85,0.345,0.25
1,86,0.3441,0.25
1,87,0.3396,0.25
1,88,0.3395,0.25
1,89,0.3359,0.25
1,90,0.3347,0.25
1,91,0.3398,0.25
1,92,0.3427,0.25
1,93,0.3441,0.25
1,94,0.3443,0.25
1,95,0.3422,0.25
1,96,0.3376,0.25
1,97,0.3327,0.25
1,98,0.3362,0.25
1,99,0.3328,0.25
1,100,0.3359,0.25
1,0,1,0.25
1,1,0.7053,0.25
1,2,0.5853,0.25
1,3,0.5231,0.25
1,4,0.4713,0.25
1,5,0.445,0.25
1,6,0.4174,0.25
1,7,0.4035,0.25
1,8,0.3958,0.25
1,9,0.3927,0.25
1,10,0.3743,0.25
1,11,0.3622,0.25
1,12,0.3574,0.25
1,13,0.3612,0.25
1,14,0.3604,0.25
1,15,0.3504,0.25
1,16,0.3493,0.25
1,17,0.3514,0.25
1,18,0.3376,0.25
1,19,0.3368,0.25
1,20,0.3377,0.25
1,21,0.3441,0.25
1,22,0.3418,0.25
1,23,0.3399,0.25
1,24,0.3377,0.25
1,25,0.3327,0.25
1,26,0.3353,0.25
1,27,0.3365,0.25
1,28,0.3418,0.25
1,29,0.3503,0.25
1,30,0.3502,0.25
1,31,0.3532,0.25
1,32,0.3538,0.25
1,33,0.3541,0.25
1,34,0.3535,0.25
1,35,0.3492,0.25
1,36,0.3505,0.25
1,37,0.35,0.25
1,38,0.3482,0.25
1,39,0.3483,0.25
1,40,0.3542,0.25
1,41,0.3535,0.25
1,42,0.3592,0.25
1,43,0.3559,0.25
1,44,0.3626,0.25
1,45,0.3528,0.25
1,46,0.3522,0.25
1,47,0.3559,0.25
1,48,0.3563,0.25
1,49,0.3435,0.25
1,50,0.3495,0.25
1,51,0.353,0.25
1,52,0.353,0.25
1,53,0.3493,0.25
1,54,0.3517,0.25
1,55,0.3502,0.25
1,56,0.3507,0.25
1,57,0.3542,0.25
1,58,0.3547,0.25
1,59,0.3506,0.25
