simulation,generation,rho,p_int
1,0,1,0.0
1,1,0.0,0.0
1,0,1,0.1111111111111111
1,1,0.42,0.1111111111111111
1,2,0.29,0.1111111111111111
1,3,0.07,0.1111111111111111
1,4,0.04,0.1111111111111111
1,5,0.03,0.1111111111111111
1,6,0.03,0.1111111111111111
1,7,0.0,0.1111111111111111
1,0,1,0.2222222222222222
1,1,0.65,0.2222222222222222
1,2,0.55,0.2222222222222222
1,3,0.4,0.2222222222222222
1,4,0.29,0.2222222222222222
1,5,0.24,0.2222222222222222
1,6,0.21,0.2222222222222222
1,7,0.17,0.2222222222222222
1,8,0.17,0.2222222222222222
1,9,0.14,0.2222222222222222
1,10,0.14,0.2222222222222222
1,11,0.12,0.2222222222222222
1,12,0.09,0.2222222222222222
1,13,0.06,0.2222222222222222
1,14,0.03,0.2222222222222222
1,15,0.02,0.2222222222222222
1,16,0.02,0.2222222222222222
1,17,0.02,0.2222222222222222
1,18,0.01,0.2222222222222222
1,19,0.0,0.2222222222222222
1,0,1,0.3333333333333333
1,1,0.81,0.3333333333333333
1,2,0.69,0.3333333333333333
1,3,0.69,0.3333333333333333
1,4,0.69,0.3333333333333333
1,5,0.65,0.3333333333333333
1,6,0.73,0.3333333333333333
1,7,0.74,0.3333333333333333
1,8,0.66,0.3333333333333333
1,9,0.7,0.3333333333333333
1,10,0.66,0.3333333333333333
1,11,0.63,0.3333333333333333
1,12,0.61,0.3333333333333333
1,13,0.6,0.3333333333333333
1,14,0.58,0.3333333333333333
1,15,0.61,0.3333333333333333
1,16,0.66,0.3333333333333333
1,17,0.74,0.3333333333333333
1,18,0.78,0.3333333333333333
1,19,0.7,0.3333333333333333
1,20,0.69,0.3333333333333333
1,21,0.64,0.3333333333333333
1,22,0.66,0.3333333333333333
1,23,0.66,0.3333333333333333
1,24,0.68,0.3333333333333333
1,25,0.59,0.3333333333333333
1,26,0.6,0.3333333333333333
1,27,0.69,0.3333333333333333
1,28,0.64,0.3333333333333333
1,29,0.58,0.3333333333333333
1,30,0.6,0.3333333333333333
1,31,0.64,0.3333333333333333
1,32,0.61,0.3333333333333333
1,33,0.57,0.3333333333333333
1,34,0.59,0.3333333333333333
1,35,0.57,0.3333333333333333
1,36,0.61,0.3333333333333333
1,37,0.56,0.3333333333333333
1,38,0.5,0.3333333333333333
1,39,0.55,0.3333333333333333
1,40,0.53,0.3333333333333333
1,41,0.54,0.3333333333333333
1,42,0.58,0.3333333333333333
1,43,0.59,0.3333333333333333
1,44,0.58,0.3333333333333333
1,45,0.55,0.3333333333333333
1,46,0.57,0.3333333333333333
1,47,0.56,0.3333333333333333
1,48,0.51,0.3333333333333333
1,49,0.55,0.3333333333333333
1,50,0.62,0.3333333333333333
1,51,0.62,0.3333333333333333
1,52,0.63,0.3333333333333333
1,53,0.66,0.3333333333333333
1,54,0.71,0.3333333333333333
1,55,0.66,0.3333333333333333
1,56,0.58,0.3333333333333333
1,57,0.6,0.3333333333333333
1,58,0.49,0.3333333333333333
1,59,0.5,0.3333333333333333
1,60,0.53,0.3333333333333333
1,61,0.57,0.3333333333333333
1,62,0.56,0.3333333333333333
1,63,0.61,0.3333333333333333
1,64,0.59,0.3333333333333333
1,65,0.72,0.3333333333333333
1,66,0.68,0.3333333333333333
1,67,0.65,0.3333333333333333
1,68,0.65,0.3333333333333333
1,69,0.63,0.3333333333333333
1,70,0.61,0.3333333333333333
1,71,0.57,0.3333333333333333
1,72,0.63,0.3333333333333333
1,73,0.58,0.3333333333333333
1,74,0.59,0.3333333333333333
1,75,0.66,0.3333333333333333
1,76,0.61,0.3333333333333333
1,77,0.54,0.3333333333333333
1,78,0.56,0.3333333333333333
1,79,0.6,0.3333333333333333
1,80,0.55,0.3333333333333333
1,81,0.56,0.3333333333333333
1,82,0.58,0.3333333333333333
1,83,0.62,0.3333333333333333
1,84,0.6,0.3333333333333333
1,85,0.65,0.3333333333333333
1,86,0.54,0.3333333333333333
1,87,0.51,0.3333333333333333
1,88,0.56,0.3333333333333333
1,89,0.58,0.3333333333333333
1,90,0.62,0.3333333333333333
1,91,0.58,0.3333333333333333
1,92,0.56,0.3333333333333333
1,93,0.56,0.3333333333333333
1,94,0.56,0.3333333333333333
1,95,0.51,0.3333333333333333
1,96,0.56,0.3333333333333333
1,97,0.56,0.3333333333333333
1,98,0.59,0.3333333333333333
1,99,0.6,0.3333333333333333
1,100,0.66,0.3333333333333333
1,0,1,0.4444444444444444
1,1,0.88,0.4444444444444444
1,2,0.87,0.4444444444444444
1,3,0.9,0.4444444444444444
1,4,0.89,0.4444444444444444
1,5,0.87,0.4444444444444444
1,6,0.81,0.4444444444444444
1,7,0.85,0.4444444444444444
1,8,0.77,0.4444444444444444
1,9,0.76,0.4444444444444444
1,10,0.8,0.4444444444444444
1,11,0.82,0.4444444444444444
1,12,0.81,0.4444444444444444
1,13,0.77,0.4444444444444444
1,14,0.77,0.4444444444444444
1,15,0.82,0.4444444444444444
1,16,0.89,0.4444444444444444
1,17,0.84,0.4444444444444444
1,18,0.79,0.4444444444444444
1,19,0.77,0.4444444444444444
1,20,0.8,0.4444444444444444
1,21,0.8,0.4444444444444444
1,22,0.8,0.4444444444444444
1,23,0.82,0.4444444444444444
1,24,0.76,0.4444444444444444
1,25,0.82,0.4444444444444444
1,26,0.8,0.4444444444444444
1,27,0.8,0.4444444444444444
1,28,0.72,0.4444444444444444
1,29,0.73,0.4444444444444444
1,30,0.85,0.4444444444444444
1,31,0.84,0.4444444444444444
1,32,0.8,0.4444444444444444
1,33,0.85,0.4444444444444444
1,34,0.84,0.4444444444444444
1,35,0.8,0.4444444444444444
1,36,0.79,0.4444444444444444
1,37,0.75,0.4444444444444444
1,38,0.8,0.4444444444444444
1,39,0.75,0.4444444444444444
1,40,0.78,0.4444444444444444
1,41,0.73,0.4444444444444444
1,42,0.79,0.4444444444444444
1,43,0.78,0.4444444444444444
1,44,0.79,0.4444444444444444
1,45,0.82,0.4444444444444444
1,46,0.79,0.4444444444444444
1,47,0.82,0.4444444444444444
1,48,0.73,0.4444444444444444
1,49,0.76,0.4444444444444444
1,50,0.79,0.4444444444444444
1,51,0.84,0.4444444444444444
1,52,0.86,0.4444444444444444
1,53,0.85,0.4444444444444444
1,54,0.86,0.4444444444444444
1,55,0.84,0.4444444444444444
1,56,0.8,0.4444444444444444
1,57,0.81,0.4444444444444444
1,58,0.83,0.4444444444444444
1,59,0.85,0.4444444444444444
1,60,0.78,0.4444444444444444
1,61,0.84,0.4444444444444444
1,62,0.87,0.4444444444444444
1,63,0.86,0.4444444444444444
1,64,0.84,0.4444444444444444
1,65,0.76,0.4444444444444444
1,66,0.85,0.4444444444444444
1,67,0.81,0.4444444444444444
1,68,0.79,0.4444444444444444
1,69,0.8,0.4444444444444444
1,70,0.79,0.4444444444444444
1,71,0.73,0.4444444444444444
1,72,0.73,0.4444444444444444
1,73,0.75,0.4444444444444444
1,74,0.79,0.4444444444444444
1,75,0.77,0.4444444444444444
1,76,0.78,0.4444444444444444
1,77,0.79,0.4444444444444444
1,78,0.85,0.4444444444444444
1,79,0.89,0.4444444444444444
1,80,0.9,0.4444444444444444
1,81,0.86,0.4444444444444444
1,82,0.85,0.4444444444444444
1,83,0.84,0.4444444444444444
1,84,0.8,0.4444444444444444
1,85,0.75,0.4444444444444444
1,86,0.77,0.4444444444444444
1,87,0.75,0.4444444444444444
1,88,0.79,0.4444444444444444
1,89,0.78,0.4444444444444444
1,90,0.79,0.4444444444444444
1,91,0.79,0.4444444444444444
1,92,0.79,0.4444444444444444
1,93,0.79,0.4444444444444444
1,94,0.86,0.4444444444444444
1,95,0.84,0.4444444444444444
1,96,0.84,0.4444444444444444
1,97,0.84,0.4444444444444444
1,98,0.89,0.4444444444444444
1,99,0.84,0.4444444444444444
1,100,0.86,0.4444444444444444
