simulation,generation,rho,L
1,0,1,2
1,1,0.5,2
1,2,0.5,2
1,3,0.75,2
1,4,0.25,2
1,5,0.5,2
1,6,0.25,2
1,7,0.25,2
1,8,0.0,2
2,0,1,2
2,1,0.5,2
2,2,0.5,2
2,3,0.25,2
2,4,0.25,2
2,5,0.25,2
2,6,0.25,2
2,7,0.0,2
3,0,1,2
3,1,0.75,2
3,2,0.75,2
3,3,0.5,2
3,4,0.25,2
3,5,0.75,2
3,6,0.5,2
3,7,0.0,2
4,0,1,2
4,1,0.5,2
4,2,0.5,2
4,3,1.0,2
4,4,0.5,2
4,5,0.5,2
4,6,0.25,2
4,7,0.5,2
4,8,0.5,2
4,9,0.25,2
4,10,0.0,2
5,0,1,2
5,1,1.0,2
5,2,1.0,2
5,3,0.25,2
5,4,0.25,2
5,5,0.0,2
6,0,1,2
6,1,0.75,2
6,2,0.0,2
7,0,1,2
7,1,0.75,2
7,2,1.0,2
7,3,0.75,2
7,4,0.5,2
7,5,0.5,2
7,6,0.25,2
7,7,0.25,2
7,8,0.0,2
8,0,1,2
8,1,0.25,2
8,2,0.25,2
8,3,0.25,2
8,4,0.0,2
9,0,1,2
9,1,0.5,2
9,2,0.75,2
9,3,0.5,2
9,4,0.5,2
9,5,0.5,2
9,6,0.5,2
9,7,0.25,2
9,8,0.25,2
9,9,0.25,2
9,10,0.0,2
10,0,1,2
10,1,0.75,2
10,2,1.0,2
10,3,0.5,2
10,4,0.75,2
10,5,0.75,2
10,6,0.75,2
10,7,0.75,2
10,8,0.75,2
10,9,0.5,2
10,10,0.25,2
10,11,0.25,2
10,12,0.0,2
11,0,1,2
11,1,0.5,2
11,2,0.25,2
11,3,0.25,2
11,4,0.0,2
12,0,1,2
12,1,0.75,2
12,2,1.0,2
12,3,1.0,2
12,4,0.75,2
12,5,0.75,2
12,6,0.25,2
12,7,0.25,2
12,8,0.0,2
13,0,1,2
13,1,0.75,2
13,2,0.5,2
13,3,0.25,2
13,4,0.0,2
14,0,1,2
14,1,0.5,2
14,2,0.5,2
14,3,0.25,2
14,4,0.25,2
14,5,0.0,2
15,0,1,2
15,1,1.0,2
15,2,0.75,2
15,3,0.75,2
15,4,1.0,2
15,5,1.0,2
15,6,1.0,2
15,7,0.75,2
15,8,0.5,2
15,9,0.25,2
15,10,0.0,2
16,0,1,2
16,1,1.0,2
16,2,0.75,2
16,3,0.75,2
16,4,0.5,2
16,5,0.25,2
16,6,0.25,2
16,7,0.0,2
17,0,1,2
17,1,0.5,2
17,2,0.0,2
18,0,1,2
18,1,1.0,2
18,2,0.0,2
19,0,1,2
19,1,0.75,2
19,2,0.5,2
19,3,0.25,2
19,4,0.25,2
19,5,0.5,2
19,6,0.25,2
19,7,0.0,2
20,0,1,2
20,1,0.75,2
20,2,0.75,2
20,3,0.25,2
20,4,0.25,2
20,5,0.0,2
1,0,1,10
1,1,0.69,10
1,2,0.49,10
1,3,0.41,10
1,4,0.32,10
1,5,0.32,10
1,6,0.26,10
1,7,0.19,10
1,8,0.2,10
1,9,0.14,10
1,10,0.07,10
1,11,0.03,10
1,12,0.03,10
1,13,0.02,10
1,14,0.03,10
1,15,0.02,10
1,16,0.01,10
1,17,0.0,10
2,0,1,10
2,1,0.71,10
2,2,0.61,10
2,3,0.46,10
2,4,0.39,10
2,5,0.3,10
2,6,0.25,10
2,7,0.23,10
2,8,0.18,10
2,9,0.1,10
2,10,0.06,10
2,11,0.04,10
2,12,0.03,10
2,13,0.01,10
2,14,0.01,10
2,15,0.02,10
2,16,0.0,10
3,0,1,10
3,1,0.75,10
3,2,0.56,10
3,3,0.5,10
3,4,0.32,10
3,5,0.25,10
3,6,0.25,10
3,7,0.16,10
3,8,0.13,10
3,9,0.14,10
3,10,0.13,10
3,11,0.05,10
3,12,0.01,10
3,13,0.02,10
3,14,0.01,10
3,15,0.01,10
3,16,0.0,10
4,0,1,10
4,1,0.66,10
4,2,0.48,10
4,3,0.4,10
4,4,0.34,10
4,5,0.28,10
4,6,0.19,10
4,7,0.19,10
4,8,0.11,10
4,9,0.06,10
4,10,0.06,10
4,11,0.02,10
4,12,0.02,10
4,13,0.02,10
4,14,0.01,10
4,15,0.0,10
5,0,1,10
5,1,0.65,10
5,2,0.39,10
5,3,0.37,10
5,4,0.26,10
5,5,0.17,10
5,6,0.19,10
5,7,0.16,10
5,8,0.07,10
5,9,0.09,10
5,10,0.05,10
5,11,0.02,10
5,12,0.0,10
6,0,1,10
6,1,0.65,10
6,2,0.49,10
6,3,0.42,10
6,4,0.41,10
6,5,0.26,10
6,6,0.19,10
6,7,0.1,10
6,8,0.11,10
6,9,0.12,10
6,10,0.08,10
6,11,0.04,10
6,12,0.02,10
6,13,0.03,10
6,14,0.02,10
6,15,0.01,10
6,16,0.01,10
6,17,0.0,10
7,0,1,10
7,1,0.75,10
7,2,0.56,10
7,3,0.37,10
7,4,0.31,10
7,5,0.23,10
7,6,0.18,10
7,7,0.15,10
7,8,0.06,10
7,9,0.02,10
7,10,0.02,10
7,11,0.0,10
8,0,1,10
8,1,0.67,10
8,2,0.51,10
8,3,0.43,10
8,4,0.42,10
8,5,0.32,10
8,6,0.31,10
8,7,0.19,10
8,8,0.13,10
8,9,0.08,10
8,10,0.04,10
8,11,0.03,10
8,12,0.02,10
8,13,0.01,10
8,14,0.0,10
9,0,1,10
9,1,0.73,10
9,2,0.57,10
9,3,0.45,10
9,4,0.41,10
9,5,0.33,10
9,6,0.21,10
9,7,0.18,10
9,8,0.1,10
9,9,0.09,10
9,10,0.11,10
9,11,0.09,10
9,12,0.06,10
9,13,0.04,10
9,14,0.01,10
9,15,0.01,10
9,16,0.0,10
10,0,1,10
10,1,0.67,10
10,2,0.45,10
10,3,0.4,10
10,4,0.25,10
10,5,0.28,10
10,6,0.21,10
10,7,0.15,10
10,8,0.15,10
10,9,0.14,10
10,10,0.07,10
10,11,0.03,10
10,12,0.03,10
10,13,0.01,10
10,14,0.01,10
10,15,0.0,10
11,0,1,10
11,1,0.67,10
11,2,0.52,10
11,3,0.37,10
11,4,0.38,10
11,5,0.22,10
11,6,0.17,10
11,7,0.09,10
11,8,0.06,10
11,9,0.05,10
11,10,0.02,10
11,11,0.02,10
11,12,0.0,10
12,0,1,10
12,1,0.71,10
12,2,0.58,10
12,3,0.37,10
12,4,0.31,10
12,5,0.22,10
12,6,0.12,10
12,7,0.08,10
12,8,0.06,10
12,9,0.04,10
12,10,0.04,10
12,11,0.05,10
12,12,0.04,10
12,13,0.03,10
12,14,0.0,10
13,0,1,10
13,1,0.72,10
13,2,0.55,10
13,3,0.36,10
13,4,0.29,10
13,5,0.2,10
13,6,0.14,10
13,7,0.09,10
13,8,0.05,10
13,9,0.02,10
13,10,0.01,10
13,11,0.0,10
14,0,1,10
14,1,0.69,10
14,2,0.58,10
14,3,0.5,10
14,4,0.31,10
14,5,0.2,10
14,6,0.16,10
14,7,0.15,10
14,8,0.05,10
14,9,0.04,10
14,10,0.03,10
14,11,0.02,10
14,12,0.01,10
14,13,0.0,10
15,0,1,10
15,1,0.72,10
15,2,0.55,10
15,3,0.43,10
15,4,0.24,10
15,5,0.16,10
15,6,0.07,10
15,7,0.04,10
15,8,0.04,10
15,9,0.03,10
15,10,0.02,10
